dataset,suite,metric,higher_better,n_test,n_scaffolds,arm,value,is_leader,q_overall,cobest_overall,q_climb,cobest_climb
MolNet:BACE,MoleculeNet,roc_auc,True,1513,675,ecfp,0.8838305146812864,1,,1,,
MolNet:BACE,MoleculeNet,roc_auc,True,1513,675,ecfp_desc,0.8767028989334544,0,0.33,1,,
MolNet:BACE,MoleculeNet,roc_auc,True,1513,675,r3fp,0.878680004647871,0,0.33,1,,
MolNet:BACE,MoleculeNet,roc_auc,True,1513,675,r3fp_desc,0.8739881197601417,0,0.24588235294117644,1,,
MolNet:BACE,MoleculeNet,roc_auc,True,1513,675,sup_dense,0.851632564674068,0,0.0,0,0.0528,1
MolNet:BACE,MoleculeNet,roc_auc,True,1513,675,sup_dense_sparse,0.8192365519839719,0,0.0,0,0.0,0
MolNet:BACE,MoleculeNet,roc_auc,True,1513,675,sup_mixed,0.8253148756518462,0,0.0,0,0.0,0
MolNet:BACE,MoleculeNet,roc_auc,True,1513,675,sup_sparse,0.7684268717363671,0,0.0,0,0.0,0
MolNet:BACE,MoleculeNet,roc_auc,True,1513,675,sup_minimol,0.7761574783187383,0,0.0,0,0.0,0
MolNet:BACE,MoleculeNet,roc_auc,True,1513,675,unsup,0.8710303836958321,0,0.05573333333333333,1,,1
MolNet:BACE,MoleculeNet,roc_auc,True,1513,675,u2s_dense,0.839827148495956,0,0.0,0,0.0,0
MolNet:BACE,MoleculeNet,roc_auc,True,1513,675,u2s_dense_sparse,0.7700976405012658,0,0.0,0,0.0,0
MolNet:BACE,MoleculeNet,roc_auc,True,1513,675,u2s_mixed,0.8151855099101764,0,0.0,0,0.0,0
MolNet:BACE,MoleculeNet,roc_auc,True,1513,675,u2s_sparse,0.7564999771127566,0,0.0,0,0.0,0
MolNet:BACE,MoleculeNet,roc_auc,True,1513,675,u2s_minimol,0.7721029151305805,0,0.0,0,0.0,0
MolNet:BACE,MoleculeNet,roc_auc,True,1513,675,s2u_dense,0.8599335917831276,0,0.008769230769230769,0,0.132,1
MolNet:BACE,MoleculeNet,roc_auc,True,1513,675,random_encoder,0.8093765514910158,0,0.0,0,,
MolNet:BACE,MoleculeNet,roc_auc,True,1513,675,e2e_no_pretrain,0.780848482927877,0,0.0,0,,
MolNet:BACE,MoleculeNet,roc_auc,True,1513,675,chemeleon_e2e,0.8689344403716889,0,0.06175,1,,
MolNet:BACE,MoleculeNet,roc_auc,True,1513,675,chemeleon_frozen,0.8701668303984845,0,0.04342857142857143,0,,
MolNet:BBBP,MoleculeNet,roc_auc,True,2039,1123,ecfp,0.8804928804667844,0,0.0,0,,
MolNet:BBBP,MoleculeNet,roc_auc,True,2039,1123,ecfp_desc,0.9055805363738558,0,0.0,0,,
MolNet:BBBP,MoleculeNet,roc_auc,True,2039,1123,r3fp,0.8955683582249344,0,0.0,0,,
MolNet:BBBP,MoleculeNet,roc_auc,True,2039,1123,r3fp_desc,0.9095772442588727,0,0.0,0,,
MolNet:BBBP,MoleculeNet,roc_auc,True,2039,1123,sup_dense,0.9393193619185268,0,0.0072,0,0.008571428571428572,0
MolNet:BBBP,MoleculeNet,roc_auc,True,2039,1123,sup_dense_sparse,0.9410611048659066,0,0.020249999999999997,0,0.0225,0
MolNet:BBBP,MoleculeNet,roc_auc,True,2039,1123,sup_mixed,0.9408811091483326,0,0.0025714285714285717,0,0.0033333333333333335,0
MolNet:BBBP,MoleculeNet,roc_auc,True,2039,1123,sup_sparse,0.9227999036454151,0,0.0,0,0.0,0
MolNet:BBBP,MoleculeNet,roc_auc,True,2039,1123,sup_minimol,0.9270702853166318,0,0.0,0,0.0,0
MolNet:BBBP,MoleculeNet,roc_auc,True,2039,1123,unsup,0.9535263101547027,1,,1,,1
MolNet:BBBP,MoleculeNet,roc_auc,True,2039,1123,u2s_dense,0.9431748835715433,0,0.027529411764705882,0,0.02888888888888889,0
MolNet:BBBP,MoleculeNet,roc_auc,True,2039,1123,u2s_dense_sparse,0.9303878272041112,0,0.0,0,0.0,0
MolNet:BBBP,MoleculeNet,roc_auc,True,2039,1123,u2s_mixed,0.9443779776243242,0,0.074,1,0.074,1
MolNet:BBBP,MoleculeNet,roc_auc,True,2039,1123,u2s_sparse,0.9250475081633746,0,0.0,0,0.0,0
MolNet:BBBP,MoleculeNet,roc_auc,True,2039,1123,u2s_minimol,0.9255259354424281,0,0.0,0,0.0,0
MolNet:BBBP,MoleculeNet,roc_auc,True,2039,1123,random_encoder,0.9409948610888068,0,0.0,0,,
MolNet:BBBP,MoleculeNet,roc_auc,True,2039,1123,e2e_no_pretrain,0.9314570954445693,0,0.0,0,,
MolNet:BBBP,MoleculeNet,roc_auc,True,2039,1123,chemeleon_e2e,0.8934485573577432,0,0.0,0,,
MolNet:BBBP,MoleculeNet,roc_auc,True,2039,1123,chemeleon_frozen,0.8917335795728281,0,0.0,0,,
MolNet:HIV,MoleculeNet,roc_auc,True,41120,20663,ecfp,0.7986109018823185,0,0.0021176470588235297,0,,
MolNet:HIV,MoleculeNet,roc_auc,True,41120,20663,ecfp_desc,0.8188443493406066,1,,1,,
MolNet:HIV,MoleculeNet,roc_auc,True,41120,20663,r3fp,0.7955590055673227,0,0.0,0,,
MolNet:HIV,MoleculeNet,roc_auc,True,41120,20663,r3fp_desc,0.8151547673310912,0,0.262,1,,
MolNet:HIV,MoleculeNet,roc_auc,True,41120,20663,sup_dense,0.728347876531963,0,0.0,0,0.7825,1
MolNet:HIV,MoleculeNet,roc_auc,True,41120,20663,sup_dense_sparse,0.7214130402375482,0,0.0,0,0.7428571428571429,1
MolNet:HIV,MoleculeNet,roc_auc,True,41120,20663,sup_mixed,0.725285256058752,0,0.0,0,,1
MolNet:HIV,MoleculeNet,roc_auc,True,41120,20663,sup_sparse,0.6887336657228534,0,0.0,0,0.0,0
MolNet:HIV,MoleculeNet,roc_auc,True,41120,20663,sup_minimol,0.6947367752746184,0,0.0,0,0.0,0
MolNet:HIV,MoleculeNet,roc_auc,True,41120,20663,unsup,0.7258077007175981,0,0.0,0,0.914,1
MolNet:HIV,MoleculeNet,roc_auc,True,41120,20663,u2s_dense,0.7228979518971201,0,0.0,0,0.8488888888888889,1
MolNet:HIV,MoleculeNet,roc_auc,True,41120,20663,u2s_dense_sparse,0.6523257948264879,0,0.0,0,0.0,0
MolNet:HIV,MoleculeNet,roc_auc,True,41120,20663,u2s_mixed,0.7192276524131251,0,0.0,0,0.6566666666666667,1
MolNet:HIV,MoleculeNet,roc_auc,True,41120,20663,u2s_sparse,0.6572807139760286,0,0.0,0,0.0,0
MolNet:HIV,MoleculeNet,roc_auc,True,41120,20663,u2s_minimol,0.6849250088784328,0,0.0,0,0.0,0
MolNet:HIV,MoleculeNet,roc_auc,True,41120,20663,random_encoder,0.7456513931423829,0,0.0,0,,
MolNet:HIV,MoleculeNet,roc_auc,True,41120,20663,e2e_no_pretrain,0.7514043101789151,0,0.0,0,,
MolNet:HIV,MoleculeNet,roc_auc,True,41120,20663,chemeleon_e2e,0.7878527634557576,0,0.0,0,,
MolNet:HIV,MoleculeNet,roc_auc,True,41120,20663,chemeleon_frozen,0.8015936762817828,0,0.0021176470588235297,0,,
MolNet:Tox21,MoleculeNet,roc_auc,True,65954,4019,ecfp,0.7674992314618095,0,0.0,0,,
MolNet:Tox21,MoleculeNet,roc_auc,True,65954,4019,ecfp_desc,0.8303467501784124,0,0.187,1,,
MolNet:Tox21,MoleculeNet,roc_auc,True,65954,4019,sup_dense,0.80651054187329,0,0.0,0,0.0,0
MolNet:Tox21,MoleculeNet,roc_auc,True,65954,4019,sup_dense_sparse,0.8379897713680108,1,,1,,1
MolNet:Tox21,MoleculeNet,roc_auc,True,65954,4019,sup_mixed,0.8277953801686703,0,0.0,0,0.0,0
MolNet:Tox21,MoleculeNet,roc_auc,True,65954,4019,sup_sparse,0.7986660603127486,0,0.0,0,0.0,0
MolNet:Tox21,MoleculeNet,roc_auc,True,65954,4019,sup_minimol,0.7862352516205974,0,0.0,0,0.0,0
MolNet:Tox21,MoleculeNet,roc_auc,True,65954,4019,unsup,0.809832380067277,0,0.0,0,0.0,0
MolNet:Tox21,MoleculeNet,roc_auc,True,65954,4019,u2s_dense,0.8049416663844343,0,0.0,0,0.0,0
MolNet:Tox21,MoleculeNet,roc_auc,True,65954,4019,u2s_dense_sparse,0.7440333605210401,0,0.0,0,0.0,0
MolNet:Tox21,MoleculeNet,roc_auc,True,65954,4019,u2s_mixed,0.8114234813227097,0,0.0,0,0.0,0
MolNet:Tox21,MoleculeNet,roc_auc,True,65954,4019,u2s_sparse,0.8020652951628807,0,0.0,0,0.0,0
MolNet:Tox21,MoleculeNet,roc_auc,True,65954,4019,u2s_minimol,0.792928039220684,0,0.0,0,0.0,0
MolNet:Tox21,MoleculeNet,roc_auc,True,65954,4019,s2u_dense,0.621622082446468,0,0.0,0,0.0,0
MolNet:Tox21,MoleculeNet,roc_auc,True,65954,4019,random_encoder,0.7752766876643803,0,0.0,0,,
MolNet:Tox21,MoleculeNet,roc_auc,True,65954,4019,e2e_no_pretrain,0.776971912148494,0,0.0,0,,
MolNet:Tox21,MoleculeNet,roc_auc,True,65954,4019,chemeleon_e2e,0.8243951101523557,0,0.002266666666666667,0,,
MolNet:Tox21,MoleculeNet,roc_auc,True,65954,4019,chemeleon_frozen,0.8371840437136474,0,0.812,1,,
MolNet:ESOL,MoleculeNet,rmse,False,1128,585,ecfp,1.5033958768558198,0,0.0,0,,
MolNet:ESOL,MoleculeNet,rmse,False,1128,585,ecfp_desc,0.7182988968560965,0,0.856,1,,
MolNet:ESOL,MoleculeNet,rmse,False,1128,585,r3fp,0.9847710815097803,0,0.0,0,,
MolNet:ESOL,MoleculeNet,rmse,False,1128,585,r3fp_desc,0.7157062422055165,0,0.7877647058823529,1,,
MolNet:ESOL,MoleculeNet,rmse,False,1128,585,sup_dense,0.9109533052453633,0,0.0,0,0.944,1
MolNet:ESOL,MoleculeNet,rmse,False,1128,585,sup_dense_sparse,0.9358482053103294,0,0.0,0,0.944,1
MolNet:ESOL,MoleculeNet,rmse,False,1128,585,sup_mixed,0.9320216948964104,0,0.0,0,,1
MolNet:ESOL,MoleculeNet,rmse,False,1128,585,sup_sparse,1.4082264699684361,0,0.0,0,0.0,0
MolNet:ESOL,MoleculeNet,rmse,False,1128,585,sup_minimol,1.319709939773525,0,0.0,0,0.0,0
MolNet:ESOL,MoleculeNet,rmse,False,1128,585,unsup,1.0209521403456088,0,0.0,0,0.3566666666666667,1
MolNet:ESOL,MoleculeNet,rmse,False,1128,585,u2s_dense,0.9318987329176088,0,0.0,0,0.944,1
MolNet:ESOL,MoleculeNet,rmse,False,1128,585,u2s_dense_sparse,1.2274238740977252,0,0.0,0,0.008,0
MolNet:ESOL,MoleculeNet,rmse,False,1128,585,u2s_mixed,0.9670662215603673,0,0.0,0,0.7485714285714286,1
MolNet:ESOL,MoleculeNet,rmse,False,1128,585,u2s_sparse,1.188470867299971,0,0.0,0,0.0,0
MolNet:ESOL,MoleculeNet,rmse,False,1128,585,u2s_minimol,1.2292950402000544,0,0.0,0,0.0,0
MolNet:ESOL,MoleculeNet,rmse,False,1128,585,random_encoder,1.366421407592693,0,0.0,0,,
MolNet:ESOL,MoleculeNet,rmse,False,1128,585,e2e_no_pretrain,1.3670629648286337,0,0.0,0,,
MolNet:ESOL,MoleculeNet,rmse,False,1128,585,chemeleon_e2e,0.7229055758697835,1,,1,,
MolNet:ESOL,MoleculeNet,rmse,False,1128,585,chemeleon_frozen,1.324343495705871,0,0.0,0,,
MolNet:QM7,MoleculeNet,rmse,False,6838,3771,ecfp,215.92320610810845,0,0.0,0,,
MolNet:QM7,MoleculeNet,rmse,False,6838,3771,ecfp_desc,187.27884698061644,1,,1,,
MolNet:QM7,MoleculeNet,rmse,False,6838,3771,sup_dense,194.8098609002067,0,0.0,0,,1
MolNet:QM7,MoleculeNet,rmse,False,6838,3771,sup_dense_sparse,196.10122431805672,0,0.0,0,0.3397777777777778,1
MolNet:QM7,MoleculeNet,rmse,False,6838,3771,sup_mixed,196.71950049204133,0,0.0,0,0.264,1
MolNet:QM7,MoleculeNet,rmse,False,6838,3771,sup_sparse,210.48019848965487,0,0.0,0,0.0,0
MolNet:QM7,MoleculeNet,rmse,False,6838,3771,sup_minimol,204.35742938955315,0,0.0,0,0.0,0
MolNet:QM7,MoleculeNet,rmse,False,6838,3771,unsup,199.71961790884237,0,0.0,0,0.08066666666666666,1
MolNet:QM7,MoleculeNet,rmse,False,6838,3771,u2s_dense,194.43644308178932,0,0.0,0,0.786,1
MolNet:QM7,MoleculeNet,rmse,False,6838,3771,u2s_dense_sparse,195.53684418620207,0,0.0,0,0.616,1
MolNet:QM7,MoleculeNet,rmse,False,6838,3771,u2s_mixed,196.585251213102,0,0.0,0,0.3397777777777778,1
MolNet:QM7,MoleculeNet,rmse,False,6838,3771,u2s_sparse,207.5980620831636,0,0.0,0,0.0,0
MolNet:QM7,MoleculeNet,rmse,False,6838,3771,u2s_minimol,205.2486093410168,0,0.0,0,0.0,0
MolNet:QM7,MoleculeNet,rmse,False,6838,3771,s2u_dense,198.49214344379246,0,0.0,0,0.0132,0
MolNet:QM7,MoleculeNet,rmse,False,6838,3771,random_encoder,205.54033334349444,0,0.0,0,,
MolNet:QM7,MoleculeNet,rmse,False,6838,3771,e2e_no_pretrain,195.31998808311533,0,0.0,0,,
MolNet:QM7,MoleculeNet,rmse,False,6838,3771,chemeleon_e2e,198.75679858209514,0,0.0,0,,
MolNet:QM7,MoleculeNet,rmse,False,6838,3771,chemeleon_frozen,281.64330275587946,0,0.0,0,,
MolNet:Lipophilicity,MoleculeNet,rmse,False,4200,2412,random_encoder,0.9767784593445187,0,0.0,0,,
MolNet:Lipophilicity,MoleculeNet,rmse,False,4200,2412,chemeleon_e2e,0.6150423554879398,1,,1,,
MolNet:Lipophilicity,MoleculeNet,rmse,False,4200,2412,chemeleon_frozen,0.8378300226191239,0,0.0,0,,
MolACE:CHEMBL1862_Ki,MoleculeACE,rmse,False,161,102,ecfp,0.807422791308634,0,0.048133333333333334,0,,
MolACE:CHEMBL1862_Ki,MoleculeACE,rmse,False,161,102,ecfp_desc,0.7530052906435633,0,0.6214117647058823,1,,
MolACE:CHEMBL1862_Ki,MoleculeACE,rmse,False,161,102,r3fp,0.7275116660986738,1,,1,,
MolACE:CHEMBL1862_Ki,MoleculeACE,rmse,False,161,102,r3fp_desc,0.7287498441819605,0,0.976,1,,
MolACE:CHEMBL1862_Ki,MoleculeACE,rmse,False,161,102,sup_dense,0.9132370987244675,0,0.011692307692307693,0,0.4204444444444444,1
MolACE:CHEMBL1862_Ki,MoleculeACE,rmse,False,161,102,sup_dense_sparse,0.9394619603397679,0,0.0,0,0.22628571428571426,1
MolACE:CHEMBL1862_Ki,MoleculeACE,rmse,False,161,102,sup_mixed,0.8647737469416017,0,0.027142857142857142,0,,1
MolACE:CHEMBL1862_Ki,MoleculeACE,rmse,False,161,102,sup_sparse,0.9965191072359365,0,0.0,0,0.066,1
MolACE:CHEMBL1862_Ki,MoleculeACE,rmse,False,161,102,sup_minimol,0.9638344392540525,0,0.0,0,0.15033333333333335,1
MolACE:CHEMBL1862_Ki,MoleculeACE,rmse,False,161,102,unsup,0.9294120921444349,0,0.010363636363636365,0,0.4466,1
MolACE:CHEMBL1862_Ki,MoleculeACE,rmse,False,161,102,u2s_dense,0.8652606289020243,0,0.011692307692307693,0,0.998,1
MolACE:CHEMBL1862_Ki,MoleculeACE,rmse,False,161,102,u2s_dense_sparse,6.092678354910124,0,0.0,0,0.055,1
MolACE:CHEMBL1862_Ki,MoleculeACE,rmse,False,161,102,u2s_mixed,0.9959994321171193,0,0.0,0,0.066,1
MolACE:CHEMBL1862_Ki,MoleculeACE,rmse,False,161,102,u2s_sparse,0.9963441885393485,0,0.0,0,0.07039999999999999,1
MolACE:CHEMBL1862_Ki,MoleculeACE,rmse,False,161,102,u2s_minimol,1.0435834313651087,0,0.0,0,0.044,0
MolACE:CHEMBL1862_Ki,MoleculeACE,rmse,False,161,102,s2u_dense,0.9237926109728949,0,0.0,0,0.374,1
MolACE:CHEMBL1862_Ki,MoleculeACE,rmse,False,161,102,random_encoder,1.021149014458156,0,0.0,0,,
MolACE:CHEMBL1862_Ki,MoleculeACE,rmse,False,161,102,e2e_no_pretrain,1.068118941908679,0,0.0,0,,
MolACE:CHEMBL1862_Ki,MoleculeACE,rmse,False,161,102,chemeleon_e2e,0.7112223998315128,0,0.7093333333333334,1,,
MolACE:CHEMBL1862_Ki,MoleculeACE,rmse,False,161,102,chemeleon_frozen,1.0463945289039012,0,0.068875,1,,
MolACE:CHEMBL1871_Ki,MoleculeACE,rmse,False,134,77,ecfp,0.6501849156997204,0,0.09611764705882353,1,,
MolACE:CHEMBL1871_Ki,MoleculeACE,rmse,False,134,77,ecfp_desc,0.641347743126756,0,0.09611764705882353,1,,
MolACE:CHEMBL1871_Ki,MoleculeACE,rmse,False,134,77,r3fp,0.6370285483859374,0,0.242,1,,
MolACE:CHEMBL1871_Ki,MoleculeACE,rmse,False,134,77,r3fp_desc,0.6353650937519858,0,0.21955555555555556,1,,
MolACE:CHEMBL1871_Ki,MoleculeACE,rmse,False,134,77,sup_dense,0.7850742616790448,0,0.0,0,0.4444,1
MolACE:CHEMBL1871_Ki,MoleculeACE,rmse,False,134,77,sup_dense_sparse,0.7728729701326723,0,0.0,0,0.4444,1
MolACE:CHEMBL1871_Ki,MoleculeACE,rmse,False,134,77,sup_mixed,0.7836269527566024,0,0.0,0,0.4444,1
MolACE:CHEMBL1871_Ki,MoleculeACE,rmse,False,134,77,sup_sparse,0.8857206344827091,0,0.0,0,0.0,0
MolACE:CHEMBL1871_Ki,MoleculeACE,rmse,False,134,77,sup_minimol,0.8201830412506765,0,0.0,0,0.035199999999999995,0
MolACE:CHEMBL1871_Ki,MoleculeACE,rmse,False,134,77,unsup,0.7874786285686293,0,0.008142857142857143,0,0.4444,1
MolACE:CHEMBL1871_Ki,MoleculeACE,rmse,False,134,77,u2s_dense,0.7425893057802949,0,0.0,0,,1
MolACE:CHEMBL1871_Ki,MoleculeACE,rmse,False,134,77,u2s_dense_sparse,0.9185042080352037,0,0.0,0,0.0055,0
MolACE:CHEMBL1871_Ki,MoleculeACE,rmse,False,134,77,u2s_mixed,0.8137630463066332,0,0.0,0,0.4444,1
MolACE:CHEMBL1871_Ki,MoleculeACE,rmse,False,134,77,u2s_sparse,0.8752059465879523,0,0.0,0,0.0,0
MolACE:CHEMBL1871_Ki,MoleculeACE,rmse,False,134,77,u2s_minimol,0.8717787643912278,0,0.0,0,0.0,0
MolACE:CHEMBL1871_Ki,MoleculeACE,rmse,False,134,77,s2u_dense,0.7663831464469452,0,0.010133333333333333,0,0.642,1
MolACE:CHEMBL1871_Ki,MoleculeACE,rmse,False,134,77,random_encoder,0.7575102593114793,0,0.0,0,,
MolACE:CHEMBL1871_Ki,MoleculeACE,rmse,False,134,77,e2e_no_pretrain,0.8957635880496684,0,0.0,0,,
MolACE:CHEMBL1871_Ki,MoleculeACE,rmse,False,134,77,chemeleon_e2e,0.6035072047183972,1,,1,,
MolACE:CHEMBL1871_Ki,MoleculeACE,rmse,False,134,77,chemeleon_frozen,0.8132706029928454,0,0.0,0,,
MolACE:CHEMBL2034_Ki,MoleculeACE,rmse,False,152,88,ecfp,0.7217720086698043,0,0.27549999999999997,1,,
MolACE:CHEMBL2034_Ki,MoleculeACE,rmse,False,152,88,ecfp_desc,0.6678024292632312,1,,1,,
MolACE:CHEMBL2034_Ki,MoleculeACE,rmse,False,152,88,r3fp,0.7146664579747495,0,0.4686666666666667,1,,
MolACE:CHEMBL2034_Ki,MoleculeACE,rmse,False,152,88,r3fp_desc,0.6547589021957955,0,0.605764705882353,1,,
MolACE:CHEMBL2034_Ki,MoleculeACE,rmse,False,152,88,sup_dense,0.7435700825922708,0,0.3098461538461538,1,0.088,1
MolACE:CHEMBL2034_Ki,MoleculeACE,rmse,False,152,88,sup_dense_sparse,0.7559351542467718,0,0.050666666666666665,1,0.066,1
MolACE:CHEMBL2034_Ki,MoleculeACE,rmse,False,152,88,sup_mixed,0.7167719509735089,0,0.4686666666666667,1,0.282,1
MolACE:CHEMBL2034_Ki,MoleculeACE,rmse,False,152,88,sup_sparse,0.7554449876054155,0,0.038,0,0.02514285714285714,0
MolACE:CHEMBL2034_Ki,MoleculeACE,rmse,False,152,88,sup_minimol,0.8422730457222334,0,0.0,0,0.0,0
MolACE:CHEMBL2034_Ki,MoleculeACE,rmse,False,152,88,unsup,0.6647420628708299,0,0.9360000000000002,1,,1
MolACE:CHEMBL2034_Ki,MoleculeACE,rmse,False,152,88,u2s_dense,0.7005313439420103,0,0.572375,1,0.282,1
MolACE:CHEMBL2034_Ki,MoleculeACE,rmse,False,152,88,u2s_dense_sparse,0.8177418172536021,0,0.0,0,0.0,0
MolACE:CHEMBL2034_Ki,MoleculeACE,rmse,False,152,88,u2s_mixed,0.7693021912266178,0,0.012666666666666666,0,0.004399999999999999,0
MolACE:CHEMBL2034_Ki,MoleculeACE,rmse,False,152,88,u2s_sparse,0.8382415510339631,0,0.0,0,0.0,0
MolACE:CHEMBL2034_Ki,MoleculeACE,rmse,False,152,88,u2s_minimol,0.8332405234394545,0,0.0,0,0.0,0
MolACE:CHEMBL2034_Ki,MoleculeACE,rmse,False,152,88,s2u_dense,0.7448986460797785,0,0.16236363636363638,1,0.014666666666666666,0
MolACE:CHEMBL2034_Ki,MoleculeACE,rmse,False,152,88,random_encoder,0.7875684088279813,0,0.0475,0,,
MolACE:CHEMBL2034_Ki,MoleculeACE,rmse,False,152,88,e2e_no_pretrain,0.8423114729688858,0,0.0,0,,
MolACE:CHEMBL2034_Ki,MoleculeACE,rmse,False,152,88,chemeleon_e2e,0.6852058477788181,0,0.7283333333333333,1,,
MolACE:CHEMBL2034_Ki,MoleculeACE,rmse,False,152,88,chemeleon_frozen,0.7393656288057868,0,0.13679999999999998,1,,
MolACE:CHEMBL2047_EC50,MoleculeACE,rmse,False,128,75,ecfp,0.5958802121521973,0,0.608,1,,
MolACE:CHEMBL2047_EC50,MoleculeACE,rmse,False,128,75,ecfp_desc,0.6493712798029551,0,0.5074117647058823,1,,
MolACE:CHEMBL2047_EC50,MoleculeACE,rmse,False,128,75,r3fp,0.6129127619125369,0,0.932,1,,
MolACE:CHEMBL2047_EC50,MoleculeACE,rmse,False,128,75,r3fp_desc,0.6690953388928402,0,0.282625,1,,
MolACE:CHEMBL2047_EC50,MoleculeACE,rmse,False,128,75,sup_dense,0.6719879744154618,0,0.21442857142857144,1,0.656,1
MolACE:CHEMBL2047_EC50,MoleculeACE,rmse,False,128,75,sup_dense_sparse,0.7480633760666492,0,0.03166666666666667,0,0.1364,1
MolACE:CHEMBL2047_EC50,MoleculeACE,rmse,False,128,75,sup_mixed,0.6568367721427285,0,0.282625,1,,1
MolACE:CHEMBL2047_EC50,MoleculeACE,rmse,False,128,75,sup_sparse,0.7088978247876518,0,0.152,1,0.4143333333333334,1
MolACE:CHEMBL2047_EC50,MoleculeACE,rmse,False,128,75,sup_minimol,0.7836271781477789,0,0.0304,0,0.0275,0
MolACE:CHEMBL2047_EC50,MoleculeACE,rmse,False,128,75,unsup,0.687155494999341,0,0.076,1,0.42460000000000003,1
MolACE:CHEMBL2047_EC50,MoleculeACE,rmse,False,128,75,u2s_dense,0.6976674212980464,0,0.11745454545454546,1,0.42460000000000003,1
MolACE:CHEMBL2047_EC50,MoleculeACE,rmse,False,128,75,u2s_dense_sparse,0.7683642965492923,0,0.0,0,0.011,0
MolACE:CHEMBL2047_EC50,MoleculeACE,rmse,False,128,75,u2s_mixed,0.6905551028109149,0,0.11745454545454546,1,0.42460000000000003,1
MolACE:CHEMBL2047_EC50,MoleculeACE,rmse,False,128,75,u2s_sparse,0.7803103655450327,0,0.0095,0,0.0275,0
MolACE:CHEMBL2047_EC50,MoleculeACE,rmse,False,128,75,u2s_minimol,0.7570855228077547,0,0.0,0,0.0,0
MolACE:CHEMBL2047_EC50,MoleculeACE,rmse,False,128,75,s2u_dense,0.7051746585902066,0,0.08444444444444445,1,0.42460000000000003,1
MolACE:CHEMBL2047_EC50,MoleculeACE,rmse,False,128,75,random_encoder,0.7256337795657956,0,0.054285714285714284,1,,
MolACE:CHEMBL2047_EC50,MoleculeACE,rmse,False,128,75,e2e_no_pretrain,0.8409723362799253,0,0.0,0,,
MolACE:CHEMBL2047_EC50,MoleculeACE,rmse,False,128,75,chemeleon_e2e,0.6146639536727624,1,,1,,
MolACE:CHEMBL2047_EC50,MoleculeACE,rmse,False,128,75,chemeleon_frozen,0.7345122277998789,0,0.152,1,,
MolACE:CHEMBL204_Ki,MoleculeACE,rmse,False,553,388,ecfp,0.7596157289814027,0,0.0,0,,
MolACE:CHEMBL204_Ki,MoleculeACE,rmse,False,553,388,ecfp_desc,0.7235216983869075,0,0.14,1,,
MolACE:CHEMBL204_Ki,MoleculeACE,rmse,False,553,388,r3fp,0.7423620914802861,0,0.0,0,,
MolACE:CHEMBL204_Ki,MoleculeACE,rmse,False,553,388,r3fp_desc,0.7235231262008331,0,0.06333333333333332,1,,
MolACE:CHEMBL204_Ki,MoleculeACE,rmse,False,553,388,sup_dense,0.868690877147212,0,0.0,0,,1
MolACE:CHEMBL204_Ki,MoleculeACE,rmse,False,553,388,sup_dense_sparse,0.9296319052192312,0,0.0,0,0.04714285714285714,0
MolACE:CHEMBL204_Ki,MoleculeACE,rmse,False,553,388,sup_mixed,0.9211420575667736,0,0.0,0,0.08524999999999999,1
MolACE:CHEMBL204_Ki,MoleculeACE,rmse,False,553,388,sup_sparse,1.0698160037510638,0,0.0,0,0.0,0
MolACE:CHEMBL204_Ki,MoleculeACE,rmse,False,553,388,sup_minimol,1.0507291311326232,0,0.0,0,0.0,0
MolACE:CHEMBL204_Ki,MoleculeACE,rmse,False,553,388,unsup,0.8715093298437323,0,0.0,0,0.9459999999999998,1
MolACE:CHEMBL204_Ki,MoleculeACE,rmse,False,553,388,u2s_dense,0.8776574194683457,0,0.0,0,0.7524000000000001,1
MolACE:CHEMBL204_Ki,MoleculeACE,rmse,False,553,388,u2s_dense_sparse,1.2122343472368866,0,0.0,0,0.0,0
MolACE:CHEMBL204_Ki,MoleculeACE,rmse,False,553,388,u2s_mixed,1.0303426167343477,0,0.0,0,0.0,0
MolACE:CHEMBL204_Ki,MoleculeACE,rmse,False,553,388,u2s_sparse,1.2101655355607033,0,0.0,0,0.0,0
MolACE:CHEMBL204_Ki,MoleculeACE,rmse,False,553,388,u2s_minimol,1.1751908522801218,0,0.0,0,0.0,0
MolACE:CHEMBL204_Ki,MoleculeACE,rmse,False,553,388,s2u_dense,0.8573433947834298,0,0.0,0,0.7524000000000001,1
MolACE:CHEMBL204_Ki,MoleculeACE,rmse,False,553,388,random_encoder,0.978937313750068,0,0.0,0,,
MolACE:CHEMBL204_Ki,MoleculeACE,rmse,False,553,388,e2e_no_pretrain,1.0180045133689493,0,0.0,0,,
MolACE:CHEMBL204_Ki,MoleculeACE,rmse,False,553,388,chemeleon_e2e,0.6722291711952112,1,,1,,
MolACE:CHEMBL204_Ki,MoleculeACE,rmse,False,553,388,chemeleon_frozen,0.8085020958614143,0,0.006705882352941177,0,,
MolACE:CHEMBL2147_Ki,MoleculeACE,rmse,False,294,209,ecfp,0.619319877693191,0,0.021111111111111112,0,,
MolACE:CHEMBL2147_Ki,MoleculeACE,rmse,False,294,209,ecfp_desc,0.6397815069641656,0,0.008941176470588235,0,,
MolACE:CHEMBL2147_Ki,MoleculeACE,rmse,False,294,209,r3fp,0.6141099474263658,0,0.042,0,,
